#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000005:853848-855902 -            685 1653at4891           -            641  4.3e-208  683.4   5.6   1   1  1.3e-207  2.1e-207  681.2   5.6   141   633     1   634     1   643 0.84 -
tig00000001:196674-198848 -            725 1653at4891           -            641   3.8e-73  237.6   5.6   1   3   3.6e-52   5.7e-52  167.6   0.8     2   254     2   243     1   248 0.92 -
tig00000001:196674-198848 -            725 1653at4891           -            641   3.8e-73  237.6   5.6   2   3   4.5e-14   7.1e-14   41.8   0.0   214   301   247   339   241   351 0.90 -
tig00000001:196674-198848 -            725 1653at4891           -            641   3.8e-73  237.6   5.6   3   3   1.3e-09     2e-09   27.1   0.5   324   524   405   598   385   677 0.78 -
tig00000037:93758-94777   -            340 1653at4891           -            641   1.3e-33  106.9   6.7   1   2   2.5e-18   3.9e-18   55.9   0.8   115   253     4   147     2   165 0.82 -
tig00000037:93758-94777   -            340 1653at4891           -            641   1.3e-33  106.9   6.7   2   2   1.1e-15   1.8e-15   47.1   0.5   105   225   209   328   168   329 0.75 -
tig00000014:605275-606015 -            247 1653at4891           -            641   1.9e-31   99.9   0.6   1   2   2.9e-25   4.5e-25   78.8   0.4    90   256    32   196     4   200 0.88 -
tig00000014:605275-606015 -            247 1653at4891           -            641   1.9e-31   99.9   0.6   2   2   2.1e-09   3.3e-09   26.4   0.0   191   252   173   235   166   244 0.86 -
tig00000037:74521-75315   -            265 1653at4891           -            641   4.8e-28   88.6   0.0   1   2   4.9e-21   7.7e-21   64.8   0.0    96   252     3   164     1   178 0.89 -
tig00000037:74521-75315   -            265 1653at4891           -            641   4.8e-28   88.6   0.0   2   2   3.8e-08     6e-08   22.2   0.0    87   166   181   264   173   265 0.82 -
tig00000037:113144-114127 -            328 1653at4891           -            641   7.1e-28   88.0   0.0   1   1     6e-28   9.4e-28   87.6   0.0     6   250    28   276    23   288 0.88 -
tig00000018:621290-622081 -            264 1653at4891           -            641   1.1e-25   80.8   3.7   1   4   3.5e-09   5.5e-09   25.6   0.0   191   252     5    67     2    82 0.84 -
tig00000018:621290-622081 -            264 1653at4891           -            641   1.1e-25   80.8   3.7   2   4   0.00014   0.00023   10.4   0.0    93   172    77   154    72   161 0.85 -
tig00000018:621290-622081 -            264 1653at4891           -            641   1.1e-25   80.8   3.7   3   4   6.5e-14     1e-13   41.3   1.6    87   169   162   243   155   246 0.95 -
tig00000018:621290-622081 -            264 1653at4891           -            641   1.1e-25   80.8   3.7   4   4   8.9e-06   1.4e-05   14.4   0.0   190   223   222   255   217   263 0.86 -
tig00000078:495386-496162 -            259 1653at4891           -            641   2.9e-24   76.1   4.7   1   2   0.00069    0.0011    8.1   0.1   190   239    50    99    44   104 0.89 -
tig00000078:495386-496162 -            259 1653at4891           -            641   2.9e-24   76.1   4.7   2   2   3.1e-22   4.8e-22   68.8   1.7   107   252   104   257    96   258 0.80 -
tig00000038:153954-154733 -            260 1653at4891           -            641   7.3e-16   48.4   7.0   1   3   6.4e-08     1e-07   21.5   0.1   199   250     1    54     1    59 0.90 -
tig00000038:153954-154733 -            260 1653at4891           -            641   7.3e-16   48.4   7.0   2   3   2.8e-08   4.4e-08   22.7   0.5   195   252   104   161    98   191 0.86 -
tig00000038:153954-154733 -            260 1653at4891           -            641   7.3e-16   48.4   7.0   3   3    0.0012    0.0018    7.4   0.1   170   243   186   253   165   260 0.59 -
tig00000022:516372-517097 -            242 1653at4891           -            641   1.1e-14   44.4   0.0   1   3   2.2e-08   3.5e-08   23.0   0.0   198   252    17    72     6    81 0.86 -
tig00000022:516372-517097 -            242 1653at4891           -            641   1.1e-14   44.4   0.0   2   3     0.035     0.055    2.5   0.0   214   264    95   143    89   171 0.62 -
tig00000022:516372-517097 -            242 1653at4891           -            641   1.1e-14   44.4   0.0   3   3   4.1e-06   6.4e-06   15.5   0.0   195   253   181   237   173   241 0.86 -
tig00000005:613044-613871 -            276 1653at4891           -            641   9.2e-13   38.1   0.8   1   2    0.0029    0.0045    6.1   0.0   203   246    57    98    47   105 0.83 -
tig00000005:613044-613871 -            276 1653at4891           -            641   9.2e-13   38.1   0.8   2   2   1.4e-10   2.2e-10   30.3   0.4    91   250   114   275   109   276 0.83 -
