#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000007:679536-680729   -            398 14521at4891          -            349  2.4e-206  681.9   6.8   1   1  1.1e-207  1.9e-205  678.9   6.8     1   349     5   398     5   398 0.95 -
tig00000010:710018-711322   -            435 14521at4891          -            349   1.7e-48  162.8   3.2   1   2   1.5e-49   2.6e-47  158.9   0.9     3   329     1   375     1   382 0.75 -
tig00000010:710018-711322   -            435 14521at4891          -            349   1.7e-48  162.8   3.2   2   2       2.5   4.5e+02   -3.0   0.1   329   345   417   433   416   435 0.89 -
tig00000014:466642-467946   -            435 14521at4891          -            349   1.7e-48  162.8   3.2   1   2   1.5e-49   2.6e-47  158.9   0.9     3   329     1   375     1   382 0.75 -
tig00000014:466642-467946   -            435 14521at4891          -            349   1.7e-48  162.8   3.2   2   2       2.5   4.5e+02   -3.0   0.1   329   345   417   433   416   435 0.89 -
tig00000001:789056-791095   -            680 14521at4891          -            349   4.9e-35  118.5   4.5   1   2   5.9e-36   1.1e-33  114.1   2.0     3   291   253   584   251   603 0.74 -
tig00000001:789056-791095   -            680 14521at4891          -            349   4.9e-35  118.5   4.5   2   2      0.14        26    1.0   0.0   328   348   659   679   590   680 0.69 -
tig00000022:604486-606309   -            608 14521at4891          -            349   4.5e-25   85.7   0.0   1   1   1.2e-25   2.2e-23   80.2   0.0     4   277   165   493   162   510 0.68 -
tig00000023:206691-208271   -            527 14521at4891          -            349   8.2e-21   71.7   1.1   1   2   2.9e-06   0.00053   16.5   0.1     4    28    99   123    96   135 0.85 -
tig00000023:206691-208271   -            527 14521at4891          -            349   8.2e-21   71.7   1.1   2   2   1.4e-17   2.5e-15   53.7   0.1    63   232   187   355   182   364 0.78 -
tig00000034:251508-253739   -            744 14521at4891          -            349     8e-15   52.0   0.6   1   2   2.6e-14   4.7e-12   42.9   0.1     6   131    54   192    49   205 0.78 -
tig00000034:251508-253739   -            744 14521at4891          -            349     8e-15   52.0   0.6   2   2    0.0022      0.41    7.0   0.0   143   197   291   338   262   348 0.77 -
tig00000078:359322-361193   -            624 14521at4891          -            349   8.6e-15   51.9   0.1   1   1     2e-16   3.7e-14   49.8   0.1     7   128    27   157    23   304 0.71 -
tig00000061:524798-527146   -            783 14521at4891          -            349   9.5e-13   45.2   0.8   1   2   8.7e-14   1.6e-11   41.2   0.3     7   130    10   138     6   159 0.84 -
tig00000061:524798-527146   -            783 14521at4891          -            349   9.5e-13   45.2   0.8   2   2     0.082        15    1.8   0.0   172   191   275   294   263   301 0.86 -
tig00000007:273092-274999   -            636 14521at4891          -            349   4.1e-10   36.5   3.9   1   2   2.3e-12   4.1e-10   36.5   3.9     8   234   108   324   102   333 0.74 -
tig00000007:273092-274999   -            636 14521at4891          -            349   4.1e-10   36.5   3.9   2   2       2.2     4e+02   -2.9   0.1   204   233   543   575   501   610 0.56 -
tig00000008:318-2847        -            832 14521at4891          -            349   5.6e-10   36.1   3.4   1   3   2.8e-11   5.2e-09   32.9   1.5     7   128    24   165    19   195 0.70 -
tig00000008:318-2847        -            832 14521at4891          -            349   5.6e-10   36.1   3.4   2   3       1.6   2.8e+02   -2.4   0.0   149   191   292   335   285   344 0.77 -
tig00000008:318-2847        -            832 14521at4891          -            349   5.6e-10   36.1   3.4   3   3      0.15        28    0.9   0.0   193   241   376   425   365   440 0.78 -
tig00000001:1223983-1226493 -            837 14521at4891          -            349   5.7e-10   36.1   3.4   1   3   2.9e-11   5.2e-09   32.9   1.5     7   128    18   159    13   189 0.70 -
tig00000001:1223983-1226493 -            837 14521at4891          -            349   5.7e-10   36.1   3.4   2   3       1.6   2.9e+02   -2.4   0.0   149   191   286   329   279   338 0.77 -
tig00000001:1223983-1226493 -            837 14521at4891          -            349   5.7e-10   36.1   3.4   3   3      0.15        28    0.9   0.0   193   241   370   419   359   434 0.78 -
tig00000007:575993-578521   -            843 14521at4891          -            349   5.8e-10   36.1   3.4   1   3   2.9e-11   5.2e-09   32.9   1.5     7   128    24   165    19   195 0.70 -
tig00000007:575993-578521   -            843 14521at4891          -            349   5.8e-10   36.1   3.4   2   3       1.6   2.9e+02   -2.4   0.0   149   191   292   335   285   344 0.77 -
tig00000007:575993-578521   -            843 14521at4891          -            349   5.8e-10   36.1   3.4   3   3      0.16        28    0.9   0.0   193   241   376   425   365   440 0.78 -
tig00000018:327892-331221   -           1110 14521at4891          -            349   1.3e-07   28.3   0.0   1   2   3.9e-09   7.1e-07   25.9   0.0     7   129    21   161    16   172 0.67 -
tig00000018:327892-331221   -           1110 14521at4891          -            349   1.3e-07   28.3   0.0   2   2      0.77   1.4e+02   -1.4   0.0   201   234   570   603   560   606 0.89 -
tig00000039:79258-82263     -           1002 14521at4891          -            349   0.00056   16.4   0.2   1   2   7.2e-06    0.0013   15.2   0.0    10   131   410   537   405   543 0.77 -
tig00000039:79258-82263     -           1002 14521at4891          -            349   0.00056   16.4   0.2   2   2         3   5.5e+02   -3.3   0.2   203   235   635   667   629   676 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/14521at4891.hmm
# Target file:     /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm.contigs.fasta.modified.fas
