#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000014:425910-430265   -           1452 2630at4891           -            841  2.5e-271  899.8  62.1   1   7  1.2e-131  2.9e-130  433.1  11.1     1   313     1   360     1   364 0.86 -
tig00000014:425910-430265   -           1452 2630at4891           -            841  2.5e-271  899.8  62.1   2   7   1.8e-24   4.2e-23   78.7   9.5   274   399   403   546   376   568 0.80 -
tig00000014:425910-430265   -           1452 2630at4891           -            841  2.5e-271  899.8  62.1   3   7   8.7e-82   2.1e-80  268.2  11.0   392   588   578   791   558   821 0.87 -
tig00000014:425910-430265   -           1452 2630at4891           -            841  2.5e-271  899.8  62.1   4   7   5.1e-16   1.2e-14   50.7   0.2   578   641   832   895   820   995 0.78 -
tig00000014:425910-430265   -           1452 2630at4891           -            841  2.5e-271  899.8  62.1   5   7   0.00018    0.0042   12.5   0.0   631   679  1009  1058   994  1065 0.85 -
tig00000014:425910-430265   -           1452 2630at4891           -            841  2.5e-271  899.8  62.1   6   7   6.5e-08   1.6e-06   23.9   0.0   683   745  1091  1165  1067  1188 0.78 -
tig00000014:425910-430265   -           1452 2630at4891           -            841  2.5e-271  899.8  62.1   7   7   6.1e-15   1.5e-13   47.1   0.3   748   839  1198  1313  1187  1315 0.75 -
tig00000005:524212-525318   -            369 2630at4891           -            841   3.8e-23   78.8   0.4   1   2   9.6e-22   2.3e-20   69.6   0.2    70   207    89   231    60   237 0.90 -
tig00000005:524212-525318   -            369 2630at4891           -            841   3.8e-23   78.8   0.4   2   2    0.0067      0.16    7.3   0.0   216   247   283   314   281   325 0.89 -
tig00000001:1413682-1414488 -            269 2630at4891           -            841   6.3e-20   68.2   0.1   1   1     5e-21   1.2e-19   67.2   0.0    97   245   102   266    95   269 0.78 -
tig00000022:156993-158078   -            362 2630at4891           -            841   1.3e-18   63.8   1.2   1   2   4.5e-18   1.1e-16   57.5   0.6    76   208    92   222    88   231 0.88 -
tig00000022:156993-158078   -            362 2630at4891           -            841   1.3e-18   63.8   1.2   2   2     0.037      0.87    4.8   0.0   222   248   277   303   273   351 0.76 -
tig00000007:79317-80186     -            290 2630at4891           -            841   1.8e-18   63.3   0.3   1   1   9.2e-20   2.2e-18   63.1   0.3    97   208    99   204    79   266 0.79 -
tig00000014:193811-194752   -            314 2630at4891           -            841     2e-18   63.2   0.2   1   2   9.5e-19   2.2e-17   59.7   0.1    73   207    81   218    48   222 0.84 -
tig00000014:193811-194752   -            314 2630at4891           -            841     2e-18   63.2   0.2   2   2      0.45        11    1.3   0.0   222   248   275   301   271   309 0.86 -
tig00000012:389341-390171   -            277 2630at4891           -            841   3.9e-18   62.2   0.5   1   1   3.5e-19   8.3e-18   61.1   0.3    78   207    68   196    59   202 0.83 -
tig00000031:396849-397892   -            348 2630at4891           -            841   1.3e-17   60.5   0.0   1   2   1.4e-17   3.3e-16   55.9   0.0    77   208    95   224    89   235 0.91 -
tig00000031:396849-397892   -            348 2630at4891           -            841   1.3e-17   60.5   0.0   2   2      0.18       4.3    2.6   0.0   223   248   280   305   274   343 0.81 -
tig00000012:660018-662129   -            704 2630at4891           -            841   1.6e-16   56.9   0.2   1   1     1e-17   2.5e-16   56.3   0.2    56   273   134   358   117   405 0.79 -
tig00000001:313792-314634   -            281 2630at4891           -            841   2.1e-16   56.5   0.4   1   1   1.3e-17   3.1e-16   55.9   0.4    77   208    67   197    15   205 0.80 -
tig00000034:351488-352792   -            435 2630at4891           -            841   5.9e-16   55.0   0.1   1   2   4.8e-16   1.1e-14   50.8   0.1    76   207    96   217    72   226 0.81 -
tig00000034:351488-352792   -            435 2630at4891           -            841   5.9e-16   55.0   0.1   2   2      0.32       7.5    1.8   0.0   219   247   270   298   264   305 0.87 -
tig00000007:124683-125471   -            263 2630at4891           -            841   9.3e-16   54.4   0.6   1   1   4.2e-17     1e-15   54.3   0.6    94   245    95   260    16   263 0.70 -
tig00000078:224344-226434   -            697 2630at4891           -            841   5.3e-15   51.9   0.0   1   1   3.3e-16   7.9e-15   51.3   0.0   106   218   540   652   527   689 0.74 -
tig00000010:510505-511536   -            344 2630at4891           -            841     9e-15   51.1   0.3   1   1   6.5e-16   1.6e-14   50.3   0.3    58   170   109   223   102   262 0.80 -
