#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000018:383562-384812 -            417 28663at4891          -            164   8.6e-36  120.3   6.8   1   4   8.1e-06    0.0037   14.2   0.6     2    22    25    45    24   109 0.80 -
tig00000018:383562-384812 -            417 28663at4891          -            164   8.6e-36  120.3   6.8   2   4   4.6e-28   2.1e-25   86.6   0.0    43   122   139   231   126   239 0.82 -
tig00000018:383562-384812 -            417 28663at4891          -            164   8.6e-36  120.3   6.8   3   4      0.12        54    0.7   0.0   127   140   350   363   343   371 0.84 -
tig00000018:383562-384812 -            417 28663at4891          -            164   8.6e-36  120.3   6.8   4   4   1.6e-06   0.00073   16.5   0.0   133   164   383   414   372   414 0.90 -
tig00000038:60824-62476   -            551 28663at4891          -            164   2.5e-05   21.3   0.0   1   1     1e-07   4.6e-05   20.4   0.0    27    94   230   301   219   333 0.69 -
tig00000033:3553-4616     -            294 28663at4891          -            164    0.0012   15.8   0.0   1   2   8.9e-06    0.0041   14.1   0.0    65   107   100   145    71   153 0.73 -
tig00000033:3553-4616     -            294 28663at4891          -            164    0.0012   15.8   0.0   2   2      0.85   3.9e+02   -2.1   0.0    61    82   211   232   205   240 0.79 -
tig00000083:40592-41653   -            354 28663at4891          -            164    0.0022   15.0   0.0   1   2   1.2e-05    0.0057   13.6   0.0    66   107   101   145    72   152 0.73 -
tig00000083:40592-41653   -            354 28663at4891          -            164    0.0022   15.0   0.0   2   2       2.1   9.4e+02   -3.4   0.0    61    79   211   229   207   234 0.80 -
tig00000014:752429-754861 -            811 28663at4891          -            164    0.0056   13.6   0.1   1   3       2.9   1.3e+03   -3.8   0.0    19    35   359   375   352   385 0.61 -
tig00000014:752429-754861 -            811 28663at4891          -            164    0.0056   13.6   0.1   2   3      0.68   3.1e+02   -1.8   0.0    67    92   473   498   458   503 0.80 -
tig00000014:752429-754861 -            811 28663at4891          -            164    0.0056   13.6   0.1   3   3   8.1e-05     0.037   11.0   0.0    68    97   721   750   696   787 0.69 -
tig00000018:575660-576457 -            266 28663at4891          -            164    0.0097   12.9   0.0   1   1   4.3e-05      0.02   11.9   0.0    68    89   191   212   169   233 0.72 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/28663at4891.hmm
# Target file:     /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm.contigs.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/hmmer_output/initial_run_results/28663at4891.out --cpu 1 /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/28663at4891.hmm /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm.contigs.fasta.modified.fas 
# Current dir:     /home/inf-38-2022/BINP29/longread/2
# Date:            Thu Feb 23 14:07:22 2023
# [ok]
