#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000061:315812-316572 -            215 25386at4891          -            170     1e-89  296.4   7.1   1   3   3.3e-44   1.5e-41  139.6   0.7     1    82     1    86     1    93 0.95 -
tig00000061:315812-316572 -            215 25386at4891          -            170     1e-89  296.4   7.1   2   3   2.3e-34   1.1e-31  107.6   0.3    75   143    95   165    88   171 0.91 -
tig00000061:315812-316572 -            215 25386at4891          -            170     1e-89  296.4   7.1   3   3   2.3e-17     1e-14   52.3   0.0   133   170   172   210   166   210 0.92 -
tig00000007:626359-627141 -            261 25386at4891          -            170   7.9e-15   52.7   3.5   1   1   9.5e-16   4.3e-13   47.0   3.5    16   130    26   162    16   192 0.79 -
tig00000010:741761-742621 -            287 25386at4891          -            170   6.9e-12   43.1   3.0   1   3     0.014       6.4    4.2   0.0    68    97     2    31     1    43 0.89 -
tig00000010:741761-742621 -            287 25386at4891          -            170   6.9e-12   43.1   3.0   2   3   6.7e-07    0.0003   18.3   0.0    15    68    71   128    64   135 0.83 -
tig00000010:741761-742621 -            287 25386at4891          -            170   6.9e-12   43.1   3.0   3   3   4.8e-07   0.00022   18.7   1.0    74   146   151   222   138   259 0.87 -
tig00000005:98712-99491   -            260 25386at4891          -            170   6.5e-05   20.4   0.1   1   1   2.8e-07   0.00013   19.5   0.1    16    88    31   105    24   119 0.85 -
tig00000014:142588-143310 -            241 25386at4891          -            170     0.003   15.0   0.1   1   2     0.024        11    3.4   0.0    19    72    28    85    14   105 0.72 -
tig00000014:142588-143310 -            241 25386at4891          -            170     0.003   15.0   0.1   2   2   0.00031      0.14    9.6   0.0    94   154   126   188   101   204 0.76 -
tig00000038:21026-21823   -            266 25386at4891          -            170    0.0045   14.5   0.2   1   2   0.00011     0.051   11.0   0.1    17    44    39    66    32   114 0.74 -
tig00000038:21026-21823   -            266 25386at4891          -            170    0.0045   14.5   0.2   2   2      0.12        55    1.1   0.0    81   108   129   159   114   183 0.70 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/25386at4891.hmm
# Target file:     /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm.contigs.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/hmmer_output/initial_run_results/25386at4891.out --cpu 1 /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/25386at4891.hmm /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm.contigs.fasta.modified.fas 
# Current dir:     /home/inf-38-2022/BINP29/longread/2
# Date:            Thu Feb 23 14:07:07 2023
# [ok]
