#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000010:741761-742621 -            287 22393at4891          -            239  1.2e-155  513.3   0.2   1   1  5.9e-158  1.3e-155  513.1   0.2     3   239    42   285    40   285 0.97 -
tig00000007:626359-627141 -            261 22393at4891          -            239   5.8e-25   85.4   0.2   1   1   3.3e-27   7.5e-25   85.1   0.2    31   227    26   221     6   233 0.86 -
tig00000061:315812-316572 -            215 22393at4891          -            239   1.1e-24   84.5   0.7   1   1   5.8e-27   1.3e-24   84.2   0.7    29   218    14   201     5   211 0.92 -
tig00000023:179308-179892 -            195 22393at4891          -            239   4.9e-13   46.4   0.0   1   1   2.6e-15     6e-13   46.1   0.0    38   197     5   167     2   191 0.88 -
tig00000023:350153-350767 -            205 22393at4891          -            239   1.7e-09   34.8   0.0   1   1   9.4e-12   2.1e-09   34.5   0.0    34   218     9   194     5   200 0.90 -
tig00000005:98712-99491   -            260 22393at4891          -            239   2.3e-09   34.3   0.0   1   1   1.5e-11   3.4e-09   33.8   0.0    31   204    31   212    26   249 0.81 -
tig00000005:338544-339314 -            257 22393at4891          -            239     1e-08   32.2   0.1   1   1   5.7e-11   1.3e-08   31.9   0.1    31   205    29   207    23   236 0.84 -
tig00000012:832717-833466 -            250 22393at4891          -            239   1.1e-05   22.4   0.0   1   1     7e-08   1.6e-05   21.8   0.0    31   191    28   192    20   218 0.85 -
tig00000014:142588-143310 -            241 22393at4891          -            239   1.1e-05   22.3   0.0   1   1   1.1e-06   0.00026   17.8   0.0    34   219    28   231    25   241 0.82 -
tig00000012:34533-35234   -            234 22393at4891          -            239   1.6e-05   21.7   0.0   1   1   8.6e-08   1.9e-05   21.5   0.0    31   196    29   198    24   228 0.76 -
tig00000038:21026-21823   -            266 22393at4891          -            239   3.1e-05   20.8   0.0   1   1   2.2e-07     5e-05   20.2   0.0    28   216    35   235    22   257 0.69 -
tig00000007:250253-251005 -            251 22393at4891          -            239    0.0014   15.4   0.0   1   1   8.3e-06    0.0019   15.0   0.0    31   199    27   203    20   212 0.89 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/22393at4891.hmm
# Target file:     /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm.contigs.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/hmmer_output/initial_run_results/22393at4891.out --cpu 1 /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/22393at4891.hmm /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm.contigs.fasta.modified.fas 
# Current dir:     /home/inf-38-2022/BINP29/longread/2
# Date:            Thu Feb 23 14:06:54 2023
# [ok]
