#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000022:459624-461498 -            625 9922at4891           -            217   1.2e-58  195.5  14.0   1   3   3.4e-33   1.9e-30  103.3   4.7     6    98    67   166    58   173 0.87 -
tig00000022:459624-461498 -            625 9922at4891           -            217   1.2e-58  195.5  14.0   2   3   1.2e-28   6.4e-26   88.5   0.7    94   169   205   283   182   306 0.86 -
tig00000022:459624-461498 -            625 9922at4891           -            217   1.2e-58  195.5  14.0   3   3   0.00059      0.32    7.8   0.0   198   217   588   607   575   607 0.83 -
tig00000001:332108-333448 -            447 9922at4891           -            217     6e-23   78.8   3.4   1   3   1.7e-05    0.0092   12.8   0.0    88   136    11    61     6    68 0.79 -
tig00000001:332108-333448 -            447 9922at4891           -            217     6e-23   78.8   3.4   2   3   1.9e-08   1.1e-05   22.4   0.1    47    90    63   106    59   117 0.91 -
tig00000001:332108-333448 -            447 9922at4891           -            217     6e-23   78.8   3.4   3   3   8.1e-15   4.4e-12   43.3   0.4    90   167   200   282   184   302 0.85 -
tig00000078:155186-156853 -            556 9922at4891           -            217   7.2e-23   78.5   1.3   1   3   2.1e-09   1.2e-06   25.6   0.1    90   166    31   112    22   115 0.84 -
tig00000078:155186-156853 -            556 9922at4891           -            217   7.2e-23   78.5   1.3   2   3   4.8e-06    0.0026   14.6   0.1    49    95    83   129    80   135 0.90 -
tig00000078:155186-156853 -            556 9922at4891           -            217   7.2e-23   78.5   1.3   3   3   4.8e-16   2.6e-13   47.3   0.1    77   160   185   273   179   290 0.88 -
tig00000005:99667-100788  -            374 9922at4891           -            217   4.9e-17   59.5   3.0   1   1   1.8e-19   9.8e-17   58.5   3.0    97   177   282   368   270   373 0.83 -
tig00000014:392080-396048 -           1323 9922at4891           -            217   2.5e-15   53.9   1.0   1   2     2e-17   1.1e-14   51.8   0.1    83   162   445   525   430   555 0.81 -
tig00000014:392080-396048 -           1323 9922at4891           -            217   2.5e-15   53.9   1.0   2   2      0.38   2.1e+02   -1.4   0.1    93   135   769   798   740   826 0.61 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/9922at4891.hmm
# Target file:     /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm.contigs.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/hmmer_output/initial_run_results/9922at4891.out --cpu 1 /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/9922at4891.hmm /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/initial_results/asm.contigs.fasta.modified.fas 
# Current dir:     /home/inf-38-2022/BINP29/longread/2
# Date:            Thu Feb 23 14:08:47 2023
# [ok]
